City,Variable,Scores,Lat,Long
Minneapolis,AVG Temp (Oct),48.7,44°58.47,93°15.49
Minneapolis,Yearly AVG Temp,45.4,44°58.47,93°15.49
Minneapolis,average rainfall,0.253230402,44°58.47,93°15.49
Minneapolis,average snowfall,0.924240971,44°58.47,93°15.49
Minneapolis,Presence of Sports Teams,0.590289695,44°58.47,93°15.49
Minneapolis,Public Parks,0.95135844,44°58.47,93°15.49
Minneapolis,Total Population,0.302069135,44°58.47,93°15.49
Minneapolis,Age (25-34),0.311696305,44°58.47,93°15.49
Minneapolis,Population,0.18987187,44°58.47,93°15.49
Minneapolis,Bar Density per 100k,0.293395213,44°58.47,93°15.49
Minneapolis,Public Transportation,0.693485602,44°58.47,93°15.49
Nashville,Unemployment Rate,0.223230136,36°9.57,86°47.4
Nashville,Tax rate,0.277815957,36°9.57,86°47.4
Nashville,Crime Rate,0.448000267,36°9.57,86°47.4
Nashville,Number of Concert Venues,0.065834008,36°9.57,86°47.4
Nashville,number of breweries ,0.036819135,36°9.57,86°47.4
Nashville,median 1 BR rent,0.35926219,36°9.57,86°47.4
Nashville,AVG Temp (Jan),36.8,36°9.57,86°47.4
Nashville,AVG Temp (April),58.5,36°9.57,86°47.4
Nashville,AVG Temp (July),79.1,36°9.57,86°47.4
Nashville,AVG Temp (Oct),59.9,36°9.57,86°47.4
Nashville,Yearly AVG Temp,58.58,36°9.57,86°47.4
Nashville,average rainfall,0.784156377,36°9.57,86°47.4
Nashville,average snowfall,0.305775428,36°9.57,86°47.4
Nashville,Presence of Sports Teams,0.350134761,36°9.57,86°47.4
Nashville,Public Parks,0.148535639,36°9.57,86°47.4
Nashville,Total Population,0.354371368,36°9.57,86°47.4
Nashville,Age (25-34),0.361066343,36°9.57,86°47.4
Nashville,Population,0.555386928,36°9.57,86°47.4
Nashville,Bar Density per 100k,0.792532374,36°9.57,86°47.4
Nashville,Public Transportation,0.063102213,36°9.57,86°47.4
New Orleans,Unemployment Rate,0.981854691,29°57.16,90°4.30
New Orleans,Tax rate,0.553042249,29°57.16,90°4.30
New Orleans,Crime Rate,0.950008658,29°57.16,90°4.30
New Orleans,Number of Concert Venues,0.726753202,29°57.16,90°4.30
New Orleans,number of breweries ,0.036819135,29°57.16,90°4.30
New Orleans,median 1 BR rent,0.266460958,29°57.16,90°4.30
New Orleans,AVG Temp (Jan),52.6,29°57.16,90°4.30
New Orleans,AVG Temp (April),68.2,29°57.16,90°4.30
New Orleans,AVG Temp (July),82.7,29°57.16,90°4.30
New Orleans,AVG Temp (Oct),70,29°57.16,90°4.30
New Orleans,Yearly AVG Temp,68.38,29°57.16,90°4.30
New Orleans,average rainfall,0.978892697,29°57.16,90°4.30
New Orleans,average snowfall,0.160858922,29°57.16,90°4.30
New Orleans,Presence of Sports Teams,0.293171036,29°57.16,90°4.30
New Orleans,Public Parks,0.567004573,29°57.16,90°4.30
New Orleans,Total Population,0.296937999,29°57.16,90°4.30
New Orleans,Age (25-34),0.287681831,29°57.16,90°4.30
New Orleans,Population,0.976996393,29°57.16,90°4.30
New Orleans,Bar Density per 100k,0.861478491,29°57.16,90°4.30
New Orleans,Public Transportation,0.377089861,29°57.16,90°4.30
New York,Unemployment Rate,0.747346646,40°42.51,74°0.21
New York,Tax rate,0.791800109,40°42.51,74°0.21
